,time,r10i1p1f1,r11i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
146,1862-03-15,281.40134,276.78168,281.7929,282.8724,281.29297,281.2711,281.27664,280.8316,281.9639,281.74866,281.47372
147,1862-04-15,282.11786,279.8637,283.18036,282.46375,281.78525,279.67484,282.12228,282.92905,282.47043,283.1032,282.8919
148,1862-05-15,283.8027,283.26672,284.70355,285.87265,284.68585,284.36606,286.21906,285.40332,286.09695,288.27414,284.15585
149,1862-06-15,287.7905,287.47833,286.57086,289.1188,289.23056,288.28677,288.12308,287.4318,288.8548,288.8459,287.1176
150,1862-07-15,288.92477,289.98004,289.05484,291.23187,290.34845,290.4079,289.90356,290.03918,291.2484,290.45294,289.97482
151,1862-08-15,290.06845,292.48004,290.55725,289.3623,290.48468,289.67426,289.49066,290.6184,289.97607,290.64395,290.31628
152,1862-09-15,287.62375,289.90472,289.4284,287.5016,290.27005,289.1677,287.05145,289.8288,288.3098,290.85004,288.1988
153,1862-10-15,287.1303,286.08264,285.59308,286.7901,289.21533,286.46548,286.27966,286.841,285.47458,285.86206,285.36942
154,1862-11-15,282.61194,282.3439,285.0453,283.12766,283.87582,284.07092,279.2085,282.69434,283.42004,283.47192,283.02487
155,1862-12-15,278.74393,278.90714,282.3362,281.28778,281.0136,279.85577,282.09863,279.96313,279.79733,279.67526,280.61765
156,1863-01-15,278.29327,279.80725,281.16138,280.65714,279.55634,280.0634,279.96024,280.58624,279.02786,278.73306,278.23175
157,1863-02-14,277.64258,279.95187,282.15186,278.92206,279.4185,279.07654,278.97174,278.72937,277.8639,281.3813,278.69016
158,1863-03-15,278.45364,280.7924,281.13712,279.56992,280.33777,280.30377,281.24414,279.70605,280.9541,280.664,280.68787
159,1863-04-15,279.48743,281.6134,282.64175,283.1912,282.10233,284.01968,283.68655,280.45886,281.3707,284.02008,282.75034
160,1863-05-15,284.7278,285.4467,285.01538,285.06717,285.8305,284.81522,284.88263,285.059,285.76825,285.37057,286.18448
161,1863-06-15,286.3968,288.68564,290.01877,289.58646,287.8461,288.51273,289.07025,287.37854,287.1805,288.9627,288.51242
162,1863-07-15,288.82767,290.18143,290.61847,289.019,289.89517,289.16888,290.55438,288.98242,289.01886,289.24432,290.3726
163,1863-08-15,289.5604,289.63605,290.73727,290.28452,292.31982,290.34195,291.56494,290.77582,290.89722,289.59558,289.5298
164,1863-09-15,288.69626,287.4358,289.43634,289.68127,290.35446,288.2046,289.55325,288.04373,289.53915,288.67688,287.54675
165,1863-10-15,286.39145,285.58627,286.78674,286.6366,287.27966,285.74316,286.20358,286.55356,285.98572,286.86868,286.01733
166,1863-11-15,282.27585,283.76367,282.31064,284.8741,282.55905,282.70667,283.90802,283.52048,284.90604,282.49646,282.20743
167,1863-12-15,277.9394,279.30634,280.61642,280.60678,280.50128,278.57022,280.89777,281.04004,281.62637,280.4197,278.76614
168,1864-01-15,277.67368,280.4676,279.4612,279.49677,278.35272,275.8287,280.62173,280.19003,281.31433,279.73648,279.07977
169,1864-02-14,279.39783,279.71423,280.28748,280.28226,279.98334,278.22293,279.74615,281.02954,279.9666,280.79706,277.51825
170,1864-03-15,279.80157,281.92398,281.93723,280.7173,280.1417,278.04803,281.26547,282.607,281.31473,281.08173,280.68527
171,1864-04-15,281.8948,284.13824,282.28278,281.67517,281.90823,280.7748,281.26,283.34753,281.98776,282.63654,281.90817
172,1864-05-15,285.27316,286.15854,284.24753,285.4133,285.94064,284.04074,283.9178,284.72507,284.71216,284.6505,285.63705
173,1864-06-15,286.39578,288.01703,288.50595,289.36392,289.7191,286.78442,289.04102,287.56256,286.86935,287.9965,288.76123
174,1864-07-15,289.40686,288.98465,290.70395,291.56122,289.60672,290.46738,289.26093,291.70184,290.2921,289.31976,290.4342
175,1864-08-15,288.8905,289.6192,291.11356,292.40292,291.2208,291.04364,290.15204,290.8074,289.9196,290.5955,291.32755
176,1864-09-15,287.93515,287.6277,288.74088,291.67023,288.82388,288.40652,288.97803,288.31522,289.62665,290.40155,290.95312
177,1864-10-15,285.68484,285.92215,285.49265,287.99185,286.57175,283.85046,286.14426,286.1479,287.68417,286.5443,286.3356
178,1864-11-15,282.02036,280.5841,281.49728,284.55588,281.90674,282.53497,283.30063,281.84793,283.73804,283.65036,281.61255
179,1864-12-15,278.91495,279.26874,280.1718,281.6867,279.6659,280.75177,282.3753,279.0884,280.2751,280.66013,280.8382
