,time,r10i1p1f1,r1i1p1f1,r1i1p1f2,r1i1p3f1,r1i1p5f1,r2i1p1f1,r2i1p1f2,r2i1p3f1,r2i1p5f1,r3i1p1f1,r3i1p1f2,r3i1p3f1,r3i1p5f1,r4i1p1f1,r4i1p1f2,r4i1p3f1,r5i1p1f1,r5i1p1f2,r5i1p3f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
44,1853-09-16,288.0948009742997,287.93491264544696,287.9155321834498,288.3990044709014,288.3609293727589,288.225193341248,287.9862824554269,288.36439301343313,288.29426143055707,288.12358686032144,287.83398411721754,288.29077302103684,288.2044397319297,288.3281656673194,287.7119785114699,288.54966539546837,288.15317317475854,287.7878172629435,288.45437162147283,288.232481264485,288.12219195952554,288.4017929790116,288.1032534869303
45,1853-10-16,287.11778952465215,286.80541819433427,287.00983491135116,287.42002680641036,287.2932239055927,287.165841344918,286.7136202861134,287.41200466483843,287.22734774817246,287.0871024641265,286.7213298171447,287.20505802650257,287.18966231069044,287.29831203558916,286.7874510101466,287.46276922834875,286.978566773808,286.82991285762273,287.44143355396255,287.18903258252396,286.9066011356682,287.28498456773656,287.08269562429666
46,1853-11-16,286.1010055748934,285.7058780456039,285.73298139729263,286.4684786646831,286.39631371626973,286.2030665377942,285.86548604531094,286.31303873450054,286.0198280526808,286.11100631079864,285.59841834751325,286.3492749624155,286.20893515687993,286.3380771493313,285.6816310989469,286.3920557083279,286.16164493110597,285.71998387579157,286.4824495162413,286.0491382388216,286.0479202432341,286.22532828903076,286.0237540849941
47,1853-12-16,285.5481239440081,285.1391251751885,285.2667583940507,285.93152831595756,285.59890377683377,285.6069112320403,285.42160004096405,285.84317626761714,285.55997967763716,285.53964589937993,284.9119343753162,285.5298699798039,285.56854408378166,285.75246847740505,285.0278516970404,285.76722990720066,285.3578195558196,285.2194817905645,285.85312829345537,285.3832073743001,285.5100961741567,285.7046661496631,285.6551344815535
48,1854-01-16,285.41761984563766,285.3641132662498,285.13521679971007,285.7922375802333,285.4433421512241,285.4215337047142,285.3478618500547,285.82673167395836,285.5830772447145,285.5880467020746,284.9525010660811,285.3859026846385,285.6341488627426,286.0033498092286,285.0241435319014,285.7458105967262,285.24441971336586,285.14592345720683,285.76994707620224,285.71026464396,285.5291376040472,285.48315687006397,285.3400085638875
49,1854-02-15,285.7579368819458,285.9593074151751,285.65116549384976,286.21115467082535,285.67284891273306,285.7242453658452,285.5688447848656,286.1577312835407,285.86694370200786,285.9688152110804,285.60252964366043,285.88608407712695,286.08402202109113,286.02655632278567,285.47029432370954,286.04772558346224,285.8682649543557,285.5405009645839,286.2358081055337,285.6725873197486,285.83422910091235,286.0556524512312,285.6814883791768
50,1854-03-16,286.57933253687514,286.5650830277686,286.1414023671358,286.80052326243776,286.5119459429502,286.60539966802224,286.21429296914494,286.79768800407044,286.48822079367534,286.6009585184358,286.4667236397345,286.5927005362061,286.5345742843689,286.9078918126338,286.1319925582831,286.6725847481937,286.31715846068823,286.1387317188279,286.83352016890905,286.4707285667716,286.5028040545197,286.68683322791566,286.383548173003
51,1854-04-16,287.4560467347101,287.22826719488734,287.1107726217145,287.58715492064334,287.33295101161696,287.4264707514006,287.1961128476237,287.52571514910795,287.39760471631536,287.4665182715892,287.0892936783617,287.33717496036974,287.3909524454898,287.7273892141877,286.9551559779882,287.6088981508109,287.2063863607795,286.88715997624075,287.49616660976676,287.19687723108683,287.2535423947786,287.5352805123785,287.3778858459234
52,1854-05-16,287.97362031590404,288.0585977447076,287.87958585963094,288.44370113853745,288.19938446946696,288.01643952689136,287.86479266638946,288.3148565048279,288.2106067131905,288.1001309924668,287.83317039251676,288.01409066068425,288.04105970111425,288.5572991017908,287.69133375351265,288.3323746872675,287.9743121961818,287.70528072801494,288.40219647470457,288.07266112948514,287.9827150514761,288.3187173092724,287.9087090048694
53,1854-06-16,288.71424325529443,288.6398419924937,288.6768150438256,289.250527706258,289.03103375704023,288.6720356418757,288.4472294124878,288.97827021424007,288.8994185544161,288.77619313814756,288.461083638445,288.71213170944264,288.79356661426294,289.080448067518,288.3790236552374,289.0041394416489,288.6254796872385,288.4761733441269,289.134527264004,288.90526164810086,288.70023140504713,289.0063463578786,288.5725244639563
54,1854-07-16,289.20855200302054,289.15484292421775,289.141751777609,289.4132479143748,289.23482331771675,289.11376897151433,288.84113401639064,289.30838017959576,289.27417333397545,289.37691784858345,288.9955839788012,289.05132580324926,289.14455160047453,289.4658238863537,288.83662177223033,289.4403995299448,289.0687639612412,288.9334439433906,289.52695786180226,289.2412749752534,289.07219878348394,289.2602310294752,288.99595192978046
55,1854-08-16,288.9084344873862,289.03979276368455,288.8611738452156,289.1502647634659,288.9711345624731,289.0541425334282,288.6331052927986,289.154493656021,289.0071561920635,289.1651221420325,288.83587173427156,288.8203390620072,288.94524062179244,289.23785237610497,288.4584706271289,289.25022956863774,288.9126612364986,288.60895235951637,289.2682248628359,289.10306226245984,288.8871573669768,289.08502641126995,288.76836102088276
56,1854-09-16,287.9916156545016,288.1174702999689,288.0512609915483,288.3982274365546,288.2811103030475,288.13371701791414,287.9995537339137,288.43813149304884,288.27028451711584,288.27057361730976,287.9123433425793,288.2544490986845,288.2539604847914,288.4510746840767,287.7147933220839,288.56405756232715,288.0883029897563,287.92039081904414,288.5348329865196,288.3317323385744,288.08293282333085,288.2577944648212,287.98217180150044
57,1854-10-16,287.0344698361486,286.9279276485056,286.9400520357437,287.29258112080964,287.3183717411399,286.9551138304483,286.88709241685234,287.39650088183794,287.43891950523226,287.3383698960107,286.94127932771687,287.19861236044403,287.2113350769467,287.43256601472393,286.62173260823045,287.38047665548333,287.1017338688599,286.8861377717173,287.34066901591586,287.1718109747212,287.064473287278,287.19724339153424,287.1018854703564
58,1854-11-16,286.01643803312896,286.009834375888,286.08540420441216,286.4302115168295,286.3234786099725,286.0826353853464,285.8637821163492,286.37332969742573,286.3469414746482,286.30615916418094,285.9744447027217,286.190028753946,286.29511186707686,286.40639823792577,285.5405298148789,286.54633405669136,286.1003527708608,286.00099069242805,286.4647212037536,286.2408439886529,285.93425496077145,286.0368042043548,286.0865812934411
59,1854-12-16,285.44476730937123,285.4411289248331,285.4938801968614,285.6596773721666,285.75412349643176,285.4128669898336,285.2210988290007,285.93479099800226,285.6083528439549,285.78771811972825,285.2737484544012,285.67026187518303,285.585207675551,285.7173331373395,285.15100383078106,285.98783578169457,285.60105721535643,285.3656524569799,285.7816248759513,285.6988090834675,285.4704670271828,285.6898141699324,285.4579761039451
60,1855-01-16,285.57255287086474,285.2653309878486,285.6096246463862,285.6408577501091,285.5960374514553,285.23188908086775,285.3173032633628,285.7289018306166,285.7541218530105,285.83645827592574,285.3734006271128,285.55984962439743,285.56515179876783,285.6083732624525,285.2401006385307,285.7973720125887,285.37154836322617,285.15837088210446,285.84562761029605,285.7239538398695,285.6187396377502,285.3919278860149,285.5612145313156
61,1855-02-15,285.6969589297292,285.5750112713124,286.1653785889788,286.0305277063274,286.00473986440744,285.5414387617903,285.3784877934722,286.1029883188239,286.1200057915575,286.12443584115397,285.60736031451603,285.99716126790844,286.1053435268882,285.92952195754464,285.7318572331425,286.2170970635838,285.6487060335824,285.90597820047134,286.4235013613506,285.9106524479693,285.7150810069305,285.7303356481379,285.99839233446835
62,1855-03-16,286.61146187058023,286.5655404567944,286.5682240369767,286.7215857705148,286.74826909326026,286.5046884319787,286.2698004834583,286.6297792759437,286.7268400193414,286.9242834155111,286.4389263289969,286.6734155582047,286.57816854097024,286.70457691389873,286.13576018472133,287.0050331063985,286.59909076801324,286.56824592522815,286.9352754015367,286.6059237593033,286.64607405586605,286.3857714101378,286.5615963863723
63,1855-04-16,287.36560123246244,287.2069511068782,287.38083182026685,287.5869334906412,287.482521376371,287.43638564255986,287.18427456878936,287.3450745978227,287.4365867057066,287.56851988437006,287.13347503318107,287.50802811371193,287.50614094726467,287.28049110496477,286.9840500958698,287.6422870759418,287.2559210291984,287.1818822525039,287.6405429095856,287.36477884273495,287.58845931223226,287.2329144682218,287.36490234518493
