,time,r101i1p1f1,r102i1p1f1,r10i1p1f1,r10i1p1f2,r10i1p3f1,r1i1p1f1,r1i1p1f2,r1i1p1f3,r1i1p3f1,r1i1p5f1,r2i1p1f1,r2i1p1f2,r2i1p1f3,r2i1p3f1,r2i1p5f1,r3i1p1f1,r3i1p1f2,r3i1p1f3,r3i1p3f1,r3i1p5f1,r4i1p1f1,r4i1p1f2,r4i1p1f3,r4i1p3f1,r4i1p5f1,r5i1p1f1,r5i1p1f2,r5i1p1f3,r5i1p3f1,r6i1p1f1,r6i1p1f2,r6i1p3f1,r7i1p1f1,r7i1p1f2,r8i1p1f1,r8i1p1f2,r8i1p3f1,r9i1p1f1,r9i1p1f2,r9i1p3f1
1438,1969-11-16,285.9579168406294,286.11434659711216,286.334939933862,285.72729612528735,286.52005469332124,286.22521759989996,285.60857777182184,285.7251793689446,286.66674808372363,286.57778884945964,286.0487477608989,285.7134631778916,286.3408569652698,286.32746041917244,286.42684195183426,286.32553555352195,286.04600026477084,285.7562547317229,286.40903898228714,286.45206260962243,286.16443280778293,285.8413752527434,286.1301433336711,286.2625375290486,286.7756141457369,286.04054299931244,285.48473702296695,286.11732067140804,286.36562644325386,286.47932590747786,285.9204449283457,286.5010058382721,286.0487016103742,286.3055803282035,285.85673830508307,285.61960503540894,286.1583871839811,285.590123278449,285.8880654033592,286.4742428412782
1439,1969-12-16,285.4328640668755,285.6761363491594,285.6753003593778,285.2803391643935,286.01222725204735,285.5301067152074,284.87376577103265,285.04685762367507,286.01479632167457,286.07034643689644,285.52286857695395,285.1783818713861,285.8202659209136,285.6137630649643,286.1917007889395,285.69058407129825,285.50574578465995,285.3579789263354,285.7729588600232,285.99935346580276,285.7533836723018,285.2458253975848,285.8038587917433,285.5329973356365,286.391081253353,285.55151090991177,284.7865117179504,285.5843478032934,286.03633556251725,285.8647506311633,285.2861455868511,285.8835783544001,285.0829544860751,285.63822827541,285.25922058016897,284.92717884769354,285.72889151877945,285.1886876810742,285.03472181597186,285.9509365132789
1440,1970-01-16,285.4650822404501,285.38967288939494,285.62312052238457,285.32506762561115,285.8179056289206,285.5605529688998,285.0152540510042,285.0043016827212,285.7023382205122,285.97098969160476,285.60006460224616,285.156430754799,285.4475705740152,285.599542531037,286.072352356531,285.4001263744059,285.31069829259377,285.2288295342634,285.54135051321686,285.7473751651877,285.74780357300426,285.2541276327935,285.5732856168854,285.45546161538084,286.03303410582964,285.3844522323026,284.81103163188095,285.32645534746234,285.7420905763128,285.69448403830046,285.1924263284417,285.52378512182065,285.15600727460765,285.22538657335804,285.18337640448664,284.7842885202487,285.4986251527706,285.18953980886374,285.0990559461078,285.9068046095031
1441,1970-02-15,285.4499146733225,285.6182694428449,285.7690894213408,285.4274646620357,286.07367614058467,285.5911308460527,285.21290147502424,285.370674628715,286.176594816733,286.2176725880127,285.8141316946622,285.49500006891793,286.0212306479522,286.12736078132997,286.25896434807646,285.8128744265297,285.86457467207043,285.5546005315376,285.7272492967872,286.0279106491766,285.92872368399514,285.49396919986947,285.6282638194121,285.8539831348898,286.6188686507323,285.6835046246545,285.24550995419196,285.79377438908466,286.09719606214423,285.9610906945135,285.4337372785373,285.9376082889587,285.6883537247478,285.5589873145261,285.4609833893592,285.13546226518463,286.04139553974574,285.630805559484,285.3556653991343,286.03494236564643
1442,1970-03-16,286.3427964697525,286.3509116617609,286.42944909648503,285.9472991510367,286.6584021266722,286.3428632367649,286.1549157325989,286.1820419236774,286.8792626580514,286.74761973218324,286.3771517346011,286.02484917196784,286.3922957308327,286.42104173716524,286.7411658116349,286.2460501930184,286.4083486229477,286.1630543749535,286.44446875651596,286.9497662965763,286.5259881424384,286.05085728741614,286.3186327981883,286.6497573954908,286.93110056321615,286.4336116976797,285.57923500868986,286.5367200808612,286.76372866563383,286.6039226894793,286.11073645760814,286.58366226732477,286.27605388211765,286.2830943932161,286.1833913126671,285.932063108317,286.45022389541015,286.1709410858261,286.15194932838153,286.82212032530197
1443,1970-04-16,287.07295542681453,287.3852613733399,287.2471955140643,286.86037326196754,287.6588021310586,287.3135567076837,286.74587065378455,286.96054615560473,287.69726318943754,287.88984956865994,287.30785350028515,286.849372389335,287.4269205179158,287.31799145189035,287.6709860967374,287.1336299453111,287.3084098404821,287.0005860056632,287.1778937660429,287.7298447310969,287.5093202926383,286.9347461986134,287.1629696274294,287.4657770353932,287.86907514602007,287.1008139884714,286.4212583347045,287.32136909182435,287.6754338775239,287.47262350938166,287.10526609536464,287.420525396418,286.6875977121181,287.0214522433101,287.06349936383725,286.98965536299204,287.4206989312601,287.0676943099877,286.84015912297764,287.6176839629327
1444,1970-05-16,288.0011426623686,288.22789800742385,287.92130672918245,287.6899458930193,288.54741892689424,287.94566271972207,287.475853417983,287.63111944013167,288.56405702381466,288.511338772598,288.17393070905325,287.5791314317974,288.0613591127835,288.1302957403737,288.5503871833565,287.96296586968265,288.1289834595426,287.659378532959,288.0403887242005,288.54945589655586,288.33447162138157,287.8917822910192,287.9171924729307,288.0060676786662,288.6314758970142,287.8495210786978,287.4873665569425,287.99421879707563,288.37820069524776,288.3496086948587,287.82666699072934,288.18866492675835,287.5428026972528,287.98933226533285,287.8305149855879,287.6965954390233,288.2606099113632,287.83414236612737,287.6751890146775,288.34091451930266
1445,1970-06-16,288.5386003868359,288.7380825699185,288.6407623382543,288.5120658546898,289.1015271898968,288.3987348598219,288.1576612222534,288.44419193850354,289.3587613408431,289.31762603913063,288.868731693039,288.37619152512985,288.6756373737464,288.9683172793617,289.20308834727143,288.4742444309125,288.67243917243013,288.41760325395177,288.7531125565219,289.3870188319131,288.8460167000942,288.41387975740116,288.5835986880472,288.63658353203743,289.3533750941678,288.63728437663747,288.07168230500037,288.7978060509164,289.0951729761895,288.8211708465114,288.4791547462314,288.9264841946856,288.1100395053414,288.5482317150408,288.3416975842872,288.29377693740383,288.97360559333777,288.4373786452394,288.2351002603272,289.01448613652394
1446,1970-07-16,288.7567506642085,289.0536311075047,288.8522547094701,288.781052189445,289.41575226042596,288.7645304935702,288.61818901630113,288.73399466864277,289.6750979359436,289.5962442993293,289.03705816156327,288.60791485043484,289.0695358849294,289.18682781351475,289.6339870473395,288.7989104607838,289.01313779626463,288.77814028722884,289.16026827330455,289.5300581385058,289.1004539729537,288.7190135597385,288.89689913768797,289.0370074702581,289.50730556354586,288.8772650899469,288.4430818793624,289.0085536845621,289.6542084814313,289.0442822316997,288.90323497127696,289.3201498180486,288.6192433936675,288.8283967876839,288.4732936085073,288.5782498304964,289.28258276111535,288.73944573837036,288.6193822433865,289.3286987926246
1447,1970-08-16,288.49163218482647,288.8478079762271,288.55723507496367,288.51753266439744,289.04278104593965,288.39411179933666,288.33564387529407,288.70079771008386,289.34492491340905,289.49017817330764,288.7595804726737,288.51775349074313,288.7455063340841,289.11048608231135,289.2481139550546,288.458287155793,288.83946019704644,288.58968632828913,288.9413444039686,289.21710775651894,288.581454542771,288.40656792796597,288.57223366246757,288.9086362856609,289.0907267569946,288.5850114677899,288.3348612877997,288.53811049911616,289.26226905765407,288.7571047307852,288.47064118867297,289.07706399159724,288.51537230335646,288.5581821956816,288.3825097829322,288.4295570803994,289.121155320762,288.687769311362,288.28931892207356,289.0260275315134
