,time,r1i1p1f1,r2i1p1f1,r3i1p1f1
400,2048-05-16,288.48538,287.87546,284.96497
401,2048-06-16,291.17484,291.41364,288.9833
402,2048-07-16,291.57632,292.1109,292.77045
403,2048-08-16,292.9472,294.63962,293.85052
404,2048-09-16,291.11572,291.60748,292.27756
405,2048-10-16,289.11414,287.6117,287.77603
406,2048-11-16,285.0949,284.31918,284.1066
407,2048-12-16,282.3349,279.5757,281.7174
408,2049-01-16,281.76422,280.01364,279.0485
409,2049-02-15,281.1233,281.22446,280.21167
410,2049-03-16,281.66217,282.23288,282.60092
411,2049-04-16,283.92725,282.8207,284.08362
412,2049-05-16,286.6285,285.2386,287.6049
413,2049-06-16,290.69772,289.36945,291.50473
414,2049-07-16,293.49646,292.19983,292.2656
415,2049-08-16,293.7974,294.65225,294.26257
416,2049-09-16,291.18286,291.44772,291.50964
417,2049-10-16,288.90378,287.28513,287.4977
418,2049-11-16,284.06866,285.01172,283.62604
419,2049-12-16,281.7374,281.6388,280.1064
420,2050-01-16,280.41843,282.2208,281.5644
421,2050-02-15,279.85458,281.69946,282.72955
422,2050-03-16,280.49326,281.88635,280.79694
423,2050-04-16,283.54514,284.3611,283.13303
424,2050-05-16,285.82632,285.62396,286.78912
425,2050-06-16,290.8773,291.63104,290.32556
426,2050-07-16,293.97427,294.41904,293.51303
427,2050-08-16,293.90002,294.83292,295.2405
428,2050-09-16,291.81467,291.1513,291.95633
429,2050-10-16,289.0461,287.1128,287.77158
430,2050-11-16,285.29025,284.41516,285.3578
431,2050-12-16,282.53583,279.793,281.53592
432,2051-01-16,280.11057,281.81488,277.85196
433,2051-02-15,281.61142,281.65863,280.75513
434,2051-03-16,281.78003,281.76025,281.5895
435,2051-04-16,283.41086,283.32007,284.1029
436,2051-05-16,287.84335,286.1162,285.97507
437,2051-06-16,290.28784,290.22928,290.7129
438,2051-07-16,293.18433,292.3476,292.93527
439,2051-08-16,294.37527,293.8389,293.66568
440,2051-09-16,291.66534,292.93927,291.9785
441,2051-10-16,287.7117,286.74265,287.1371
442,2051-11-16,283.25696,283.01675,283.44415
443,2051-12-16,281.70758,280.56036,278.7933
444,2052-01-16,279.2113,279.83826,277.66592
445,2052-02-15,281.55905,278.05447,280.7068
446,2052-03-16,282.11932,280.84027,281.30844
447,2052-04-16,283.7419,283.59607,283.1562
448,2052-05-16,287.70566,286.97052,286.40826
449,2052-06-16,290.81885,289.23077,289.76932
450,2052-07-16,292.6948,294.21906,292.83505
451,2052-08-16,294.35565,296.44113,294.07504
452,2052-09-16,292.81186,293.23938,290.81403
453,2052-10-16,287.3774,288.1615,287.1329
454,2052-11-16,284.39642,284.0715,283.09607
455,2052-12-16,280.9031,281.2577,281.09424
456,2053-01-16,279.2091,281.28622,278.48315
457,2053-02-15,280.51193,281.48294,278.5417
458,2053-03-16,280.40628,280.89838,281.06937
459,2053-04-16,283.20023,284.25238,282.34784
460,2053-05-16,287.5425,288.19507,286.29816
461,2053-06-16,290.3049,290.51602,290.39017
462,2053-07-16,294.6923,294.8695,293.27557
463,2053-08-16,294.87122,294.4946,293.73172
464,2053-09-16,291.71936,292.81302,291.88718
465,2053-10-16,287.29123,288.67963,289.3194
466,2053-11-16,283.14847,283.5833,284.5188
467,2053-12-16,281.50974,283.07086,279.7685
468,2054-01-16,280.29236,281.2082,279.787
469,2054-02-15,279.98917,279.529,279.79578
470,2054-03-16,279.8584,281.6934,280.32397
471,2054-04-16,282.51526,283.92328,282.99008
472,2054-05-16,287.19907,287.3994,286.2415
473,2054-06-16,289.76935,291.9489,290.36484
474,2054-07-16,294.44418,292.77103,295.90768
475,2054-08-16,295.0697,292.98816,294.6853
476,2054-09-16,291.43588,290.92834,292.53976
477,2054-10-16,288.05148,287.56412,288.19064
478,2054-11-16,283.98917,283.00766,284.1927
479,2054-12-16,281.03824,283.21634,282.00696
480,2055-01-16,281.28488,282.4588,281.2809
481,2055-02-15,281.1608,280.92557,279.93042
482,2055-03-16,283.16174,282.33755,280.4187
483,2055-04-16,283.9507,284.68387,282.071
484,2055-05-16,285.7051,288.03513,286.86328
485,2055-06-16,289.19327,291.1121,289.64563
486,2055-07-16,293.45132,294.09946,293.51492
487,2055-08-16,293.78452,295.25214,292.9368
488,2055-09-16,291.64252,291.31433,290.9016
489,2055-10-16,289.6584,287.83954,287.51523
490,2055-11-16,282.04965,283.86325,283.61023
491,2055-12-16,282.32224,280.93555,282.95667
492,2056-01-16,280.57504,281.51562,281.97275
493,2056-02-15,281.8922,280.9787,279.75812
494,2056-03-16,282.61987,282.54596,281.54477
495,2056-04-16,282.41208,284.88208,283.65936
496,2056-05-16,286.45898,287.34665,285.2336
497,2056-06-16,289.922,291.30933,289.58203
498,2056-07-16,294.49658,295.83136,293.78818
499,2056-08-16,295.04092,296.32477,294.91226
500,2056-09-16,291.77896,291.96848,291.13336
501,2056-10-16,288.0137,287.94037,287.9288
502,2056-11-16,283.5207,284.95792,282.8015
503,2056-12-16,281.85043,281.81775,281.34534
504,2057-01-16,282.82303,280.48856,280.47882
505,2057-02-15,280.23523,281.61392,280.05872
506,2057-03-16,283.37827,281.84717,282.0582
507,2057-04-16,284.61606,285.8374,282.6732
508,2057-05-16,287.4186,288.16568,285.9207
509,2057-06-16,291.74786,291.12247,289.26028
510,2057-07-16,294.24146,293.85416,293.3915
511,2057-08-16,295.48615,295.04553,293.59744
512,2057-09-16,292.1696,290.6325,290.74036
513,2057-10-16,288.71884,288.35104,288.21057
514,2057-11-16,284.09952,283.55936,283.96072
515,2057-12-16,280.42938,281.10397,282.48694
516,2058-01-16,281.8716,279.75455,281.80176
517,2058-02-15,282.68613,281.72168,281.08972
518,2058-03-16,282.5294,281.04285,281.502
519,2058-04-16,284.12503,283.47507,281.71664
520,2058-05-16,286.65668,288.67715,285.4217
521,2058-06-16,292.0232,290.96976,290.40097
522,2058-07-16,294.33426,294.04602,292.8245
523,2058-08-16,293.6359,294.00046,293.702
524,2058-09-16,291.30743,291.11313,291.7762
525,2058-10-16,289.19672,288.06665,286.75348
526,2058-11-16,282.65964,285.188,283.49414
527,2058-12-16,281.63583,280.68326,282.2472
528,2059-01-16,281.48285,279.25403,282.17316
529,2059-02-15,280.94675,279.96625,282.09668
530,2059-03-16,280.76694,282.19553,280.98727
531,2059-04-16,283.52765,284.58725,284.06302
532,2059-05-16,285.5304,286.27716,286.7992
533,2059-06-16,289.84302,289.41537,292.06952
534,2059-07-16,294.33395,294.75934,293.61154
535,2059-08-16,292.0589,294.1017,293.77194
536,2059-09-16,290.32245,291.65784,289.8201
537,2059-10-16,288.20505,288.27518,286.64838
538,2059-11-16,284.2828,283.94327,283.17966
539,2059-12-16,282.62592,280.40234,280.22772
540,2060-01-16,280.50476,280.88226,280.10767
541,2060-02-15,279.73663,282.45914,281.19748
542,2060-03-16,281.26816,283.2768,281.8786
543,2060-04-16,284.30008,283.37308,284.20706
544,2060-05-16,288.47607,285.77267,288.1459
545,2060-06-16,292.63373,290.28516,290.52533
546,2060-07-16,294.84686,294.10382,293.58505
547,2060-08-16,295.54233,294.0153,294.74243
548,2060-09-16,291.10452,290.3624,291.13858
549,2060-10-16,287.72693,287.8147,288.33173
550,2060-11-16,283.924,284.69,283.70078
551,2060-12-16,281.5587,283.15375,282.9524
552,2061-01-16,279.89978,279.78745,281.9417
553,2061-02-15,282.8546,281.39285,280.21136
554,2061-03-16,282.71548,283.3348,280.9436
555,2061-04-16,284.30612,284.63943,282.1941
556,2061-05-16,288.3598,287.4581,285.41458
557,2061-06-16,291.08987,292.08844,289.46478
558,2061-07-16,294.30142,294.49664,292.47144
559,2061-08-16,295.5628,295.29834,293.03986
560,2061-09-16,293.2651,292.31696,291.92035
561,2061-10-16,290.11658,288.86017,287.72577
562,2061-11-16,284.86154,285.65732,283.20822
563,2061-12-16,280.7983,282.33594,281.17355
564,2062-01-16,280.19888,280.87698,279.94833
565,2062-02-15,281.53323,279.65112,279.94308
566,2062-03-16,282.08084,281.51035,281.64188
567,2062-04-16,283.90952,284.10928,284.0428
568,2062-05-16,286.7863,288.60672,287.06924
569,2062-06-16,290.5056,292.23462,291.69196
570,2062-07-16,293.44177,295.55832,293.3019
571,2062-08-16,292.3604,295.2914,294.65607
572,2062-09-16,291.3703,291.14053,292.56674
573,2062-10-16,286.86935,286.87183,289.81873
574,2062-11-16,283.72916,284.7738,285.1289
575,2062-12-16,280.11188,283.3619,282.67075
576,2063-01-16,281.13403,281.4446,280.30823
577,2063-02-15,280.00797,280.539,281.03287
578,2063-03-16,281.44403,282.46146,280.33713
579,2063-04-16,285.81012,284.05862,282.74707
