,time,r1i1p1f1
462,2053-07-15,293.3852
463,2053-08-15,294.28857
464,2053-09-15,290.7502
465,2053-10-15,288.72687
466,2053-11-15,285.59094
467,2053-12-15,282.38754
468,2054-01-15,280.62436
469,2054-02-14,281.74927
470,2054-03-15,283.36224
471,2054-04-15,284.9418
472,2054-05-15,286.86743
473,2054-06-15,289.91602
474,2054-07-15,293.22653
475,2054-08-15,293.10712
476,2054-09-15,292.06003
477,2054-10-15,287.56125
478,2054-11-15,282.6248
479,2054-12-15,280.46524
480,2055-01-15,281.4248
481,2055-02-14,281.14648
482,2055-03-15,281.85587
483,2055-04-15,284.75424
484,2055-05-15,285.1114
485,2055-06-15,289.17163
486,2055-07-15,292.07642
487,2055-08-15,293.05206
488,2055-09-15,291.9635
489,2055-10-15,287.53162
490,2055-11-15,284.65646
491,2055-12-15,282.62704
492,2056-01-15,280.81903
493,2056-02-14,282.1404
494,2056-03-15,283.2014
495,2056-04-15,284.97144
496,2056-05-15,287.19986
497,2056-06-15,292.09122
498,2056-07-15,292.10886
499,2056-08-15,294.75
500,2056-09-15,292.08777
501,2056-10-15,287.0709
502,2056-11-15,284.48874
503,2056-12-15,281.23703
504,2057-01-15,281.05798
505,2057-02-14,280.76398
506,2057-03-15,282.4072
507,2057-04-15,284.0255
508,2057-05-15,286.00787
509,2057-06-15,288.6371
510,2057-07-15,291.92242
511,2057-08-15,293.06253
512,2057-09-15,291.13715
513,2057-10-15,287.77274
514,2057-11-15,284.8537
515,2057-12-15,283.84708
516,2058-01-15,281.07358
517,2058-02-14,278.05893
518,2058-03-15,280.8128
519,2058-04-15,283.2479
520,2058-05-15,286.7229
521,2058-06-15,288.0053
522,2058-07-15,290.94803
523,2058-08-15,291.7444
524,2058-09-15,290.02148
525,2058-10-15,288.84937
526,2058-11-15,284.35425
527,2058-12-15,282.43344
528,2059-01-15,280.3607
529,2059-02-14,282.5133
530,2059-03-15,282.97284
531,2059-04-15,283.82205
532,2059-05-15,285.59418
533,2059-06-15,290.85672
534,2059-07-15,294.15683
535,2059-08-15,294.58322
536,2059-09-15,291.0867
537,2059-10-15,288.0895
538,2059-11-15,284.6536
539,2059-12-15,282.32053
540,2060-01-15,281.34512
541,2060-02-14,280.97925
542,2060-03-15,281.46054
543,2060-04-15,283.94446
544,2060-05-15,286.44485
545,2060-06-15,290.98547
546,2060-07-15,292.04068
547,2060-08-15,292.28534
548,2060-09-15,290.07715
549,2060-10-15,287.66638
550,2060-11-15,284.83615
551,2060-12-15,282.03833
552,2061-01-15,281.48422
553,2061-02-14,280.88284
554,2061-03-15,282.26675
555,2061-04-15,284.8708
556,2061-05-15,285.965
557,2061-06-15,288.28653
558,2061-07-15,291.29144
559,2061-08-15,293.00244
560,2061-09-15,293.2055
561,2061-10-15,288.05576
562,2061-11-15,285.12814
563,2061-12-15,282.94547
564,2062-01-15,280.81805
565,2062-02-14,279.9962
566,2062-03-15,280.5308
567,2062-04-15,283.46362
568,2062-05-15,287.17523
569,2062-06-15,290.11536
570,2062-07-15,294.6218
571,2062-08-15,293.16956
572,2062-09-15,291.53302
573,2062-10-15,287.08115
574,2062-11-15,283.87415
575,2062-12-15,282.11307
576,2063-01-15,281.60513
577,2063-02-14,282.32712
578,2063-03-15,281.6434
579,2063-04-15,285.08334
580,2063-05-15,286.62848
581,2063-06-15,289.6062
582,2063-07-15,292.51425
583,2063-08-15,293.60178
584,2063-09-15,293.09283
585,2063-10-15,289.5505
586,2063-11-15,285.00693
587,2063-12-15,281.84558
588,2064-01-15,282.3776
589,2064-02-14,281.89334
590,2064-03-15,282.13684
591,2064-04-15,283.31598
592,2064-05-15,287.4208
593,2064-06-15,290.65253
594,2064-07-15,294.50943
595,2064-08-15,293.41287
596,2064-09-15,291.5998
597,2064-10-15,288.23315
598,2064-11-15,284.9361
599,2064-12-15,280.8344
600,2065-01-15,279.6386
601,2065-02-14,280.42188
602,2065-03-15,281.8744
603,2065-04-15,284.39944
604,2065-05-15,285.9933
605,2065-06-15,289.49152
606,2065-07-15,293.7594
607,2065-08-15,293.70728
608,2065-09-15,291.38184
609,2065-10-15,288.17355
610,2065-11-15,281.97943
