,time,r1i1p1f2,r2i1p1f2,r3i1p1f2,r4i1p1f2,r5i1p1f2,r6i1p1f2
225,2033-10-16,286.91373,284.542,285.1893,284.7402,286.27588,285.5355
226,2033-11-16,282.1352,283.09824,283.51126,281.12265,281.24905,281.73236
227,2033-12-16,279.27805,279.73166,277.47287,280.8777,278.44193,280.3577
228,2034-01-16,276.14413,278.0746,276.22507,278.77167,278.64432,279.50494
229,2034-02-15,276.81522,277.67572,276.6063,278.87625,277.75452,280.43613
230,2034-03-16,278.22937,278.50372,276.7347,278.06528,277.54764,280.2956
231,2034-04-16,280.91165,280.73422,280.17953,281.1231,280.6408,282.87372
232,2034-05-16,284.93408,284.80453,286.18637,288.011,284.0531,286.48282
233,2034-06-16,287.27554,289.11075,289.58545,288.8908,288.63937,291.14774
234,2034-07-16,293.72427,292.3882,292.89792,292.72397,292.80457,293.2289
235,2034-08-16,292.62186,293.75458,292.85532,293.34155,294.2001,293.82196
236,2034-09-16,291.68204,289.88257,292.55814,288.5204,290.45905,289.24603
237,2034-10-16,285.0196,286.82635,285.93997,286.471,286.53317,286.1206
238,2034-11-16,283.2987,282.21942,281.18832,280.84274,283.62976,282.17874
239,2034-12-16,281.26508,280.4714,279.5001,278.389,280.586,279.5623
240,2035-01-16,275.91815,278.69363,279.12665,277.42386,279.67664,280.1947
241,2035-02-15,273.99432,277.47156,276.6248,277.49844,280.1492,278.91162
242,2035-03-16,276.51508,279.21683,279.77985,279.82916,280.37988,281.0011
243,2035-04-16,280.41705,283.23566,281.39877,283.7306,281.3689,280.44907
244,2035-05-16,284.65588,285.34875,285.714,284.1659,284.59164,284.73633
245,2035-06-16,289.2393,291.03656,289.33893,290.44656,288.38965,290.74454
246,2035-07-16,293.3015,293.91415,294.47388,293.7062,292.79385,297.43607
247,2035-08-16,292.20633,292.54056,294.68427,293.7096,294.39938,294.5058
248,2035-09-16,289.9972,290.98575,290.33337,289.29813,291.78412,288.7171
249,2035-10-16,286.4188,287.3643,285.2028,287.12,287.92267,285.11728
250,2035-11-16,281.3673,283.14017,282.48135,282.04056,282.0706,281.6253
251,2035-12-16,280.07996,280.3451,279.7318,278.04828,280.7581,282.52408
252,2036-01-16,278.49664,279.51147,278.48056,275.67322,279.8485,278.88553
253,2036-02-15,277.409,277.90085,278.33044,278.75146,278.43225,277.10098
254,2036-03-16,278.5682,279.32556,279.14615,280.07993,279.47775,279.20755
255,2036-04-16,281.96188,279.44302,282.42096,283.5309,281.75876,280.30093
256,2036-05-16,285.8301,283.06323,287.5083,284.3697,284.23657,286.51718
257,2036-06-16,291.0408,288.9467,291.01642,289.3773,289.7,288.64685
258,2036-07-16,294.40463,291.89233,294.3959,292.81042,295.79578,291.35248
259,2036-08-16,291.1919,295.15616,292.40933,294.3353,295.60928,293.00275
260,2036-09-16,288.02283,290.30835,291.17593,291.03726,290.45474,289.96143
261,2036-10-16,285.92102,287.5197,287.35382,286.9874,286.82034,284.6066
262,2036-11-16,281.4249,281.34488,281.26877,283.81213,281.9264,281.7743
263,2036-12-16,280.80997,279.4764,279.6846,279.9032,280.89282,278.8595
264,2037-01-16,277.9293,277.0563,275.7441,279.84662,278.92093,277.4403
265,2037-02-15,278.23532,279.14587,278.01364,278.96304,279.69278,277.39532
