,time,r10i1p1f1,r14i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r4i1p1f1,r5i1p1f1,r6i1p1f1,r7i1p1f1,r8i1p1f1,r9i1p1f1
154,2027-11-16,283.07166,282.13895,283.18668,283.55197,284.55487,282.77652,281.84003,283.00726,282.80472,282.3416,283.28217
155,2027-12-16,278.28333,278.18295,279.52618,283.38684,281.169,280.60623,279.00665,280.59894,279.35855,279.56055,279.02713
156,2028-01-16,279.05536,276.6823,279.68668,279.6937,279.5667,278.42267,276.04947,277.37634,278.29358,277.02762,276.663
157,2028-02-15,277.90927,278.0544,278.83725,279.48477,278.1029,278.8087,277.5546,277.43863,274.60605,275.30383,277.11053
158,2028-03-16,278.8069,279.92123,278.98288,277.57004,279.47638,279.34366,278.56485,278.77625,277.80713,276.11386,280.06934
159,2028-04-16,280.07648,280.72412,278.3007,282.20212,281.22845,281.64374,281.0687,282.45343,279.37436,279.1635,280.84848
160,2028-05-16,284.9713,283.98413,283.7256,283.98605,283.61197,284.45175,282.9104,283.30405,284.60992,285.14066,284.03687
161,2028-06-16,287.41766,288.6272,289.19305,287.7506,288.38916,287.2561,287.27023,287.72385,288.01288,287.45566,289.17798
162,2028-07-16,291.88495,294.75516,292.25,292.11407,291.0965,290.52994,292.04022,295.91995,293.53137,293.33014,293.18314
163,2028-08-16,293.04913,293.03378,292.33566,292.35913,294.11707,291.81476,292.32416,292.80075,293.4979,292.92282,293.0907
164,2028-09-16,292.09415,290.5511,289.75095,290.14178,289.67142,291.75195,292.2368,289.35916,289.9463,291.7384,290.61276
165,2028-10-16,287.4051,285.49725,287.29297,285.88647,286.47064,286.92657,286.416,287.1218,287.91458,288.134,285.845
166,2028-11-16,284.5331,283.24237,284.01715,283.8149,282.8705,284.26962,282.6802,283.17975,284.51242,282.7755,283.00577
167,2028-12-16,281.20517,280.72452,278.36148,280.89645,280.79065,280.4986,280.47916,282.08356,281.57016,277.67236,281.5574
168,2029-01-16,281.54697,279.16702,279.8511,278.9933,278.07614,279.67905,276.9335,279.7066,280.42563,278.23517,276.50085
169,2029-02-15,278.57214,277.7217,280.53336,279.14728,275.66815,278.59265,277.4403,276.4985,278.4204,278.61957,276.85327
170,2029-03-16,278.33435,279.61722,279.7767,279.643,274.45633,277.56195,276.8996,278.6042,277.75385,276.64133,276.7604
171,2029-04-16,284.2411,281.6287,281.8656,283.63196,280.1429,281.43137,280.50476,280.7482,279.6759,279.8821,280.66376
172,2029-05-16,284.5972,285.56253,284.22424,284.4004,284.33783,285.04672,285.09326,284.97583,283.36707,283.9372,285.28595
173,2029-06-16,289.35388,289.7395,287.56964,286.80478,288.70364,287.3327,287.5599,288.76697,288.7993,289.52682,287.28677
174,2029-07-16,292.7176,294.43637,291.1056,291.1761,293.28836,292.574,290.96515,292.64236,290.42676,296.0475,292.88678
175,2029-08-16,295.16678,294.84827,292.92157,292.11594,292.45087,293.83328,294.24664,293.84213,292.3939,293.7671,293.3426
176,2029-09-16,290.57074,291.90097,290.81033,290.28305,289.64697,289.3865,290.84573,290.82825,290.5854,292.92416,290.83722
177,2029-10-16,284.44424,287.6986,285.0754,287.39755,285.21317,286.2785,286.67596,287.0059,289.02155,287.0844,287.4171
178,2029-11-16,281.60895,284.6016,280.55682,282.2721,281.99084,282.5021,282.9702,283.7004,283.91342,284.147,283.272
179,2029-12-16,279.60727,281.909,278.69504,280.028,279.28314,279.89264,280.81543,278.68942,280.91815,281.62277,277.4623
180,2030-01-16,279.19852,280.0877,274.32578,278.53696,280.63593,278.7132,276.3633,277.4367,279.30475,277.1245,275.48145
181,2030-02-15,278.32852,277.45392,276.76956,275.30862,276.2222,279.53558,276.16953,276.8663,279.45728,279.42035,275.69824
182,2030-03-16,279.82547,278.1275,277.4607,276.29626,279.98688,278.20465,277.6556,278.79837,279.22723,278.44397,277.7673
183,2030-04-16,280.76917,280.14734,281.71927,281.41638,280.67447,282.10855,280.60345,281.3759,282.03317,280.27148,280.95856
184,2030-05-16,284.98608,283.10248,283.1443,283.9973,284.4132,285.16785,285.26816,285.64655,284.41058,283.63046,283.38464
185,2030-06-16,287.6953,287.54877,287.13678,287.8187,289.3115,286.87442,289.03098,290.1525,287.71017,288.21463,285.6399
186,2030-07-16,292.2056,291.9621,289.81442,291.2548,292.01083,290.43823,291.54108,293.05292,290.08173,291.59534,290.78888
187,2030-08-16,292.08435,293.77713,292.05972,292.0333,293.32288,291.86957,292.5483,293.59512,292.12634,292.4796,291.8049
188,2030-09-16,291.17697,291.04395,289.19067,290.59744,290.4416,291.17654,290.4476,291.14868,289.56412,291.7867,289.93365
189,2030-10-16,287.58923,285.72934,286.2589,288.08502,286.52475,287.46817,287.80365,286.952,285.9315,287.62695,286.50748
190,2030-11-16,282.27542,283.96988,282.2394,283.67102,282.14877,282.91968,284.52756,282.5301,283.37402,283.0046,282.76685
191,2030-12-16,279.63757,279.13254,280.8614,280.72702,280.498,280.5913,280.59875,280.62173,280.16003,281.59445,278.83627
192,2031-01-16,279.07758,278.3951,278.0513,279.57538,277.7379,277.74243,278.90897,276.41122,278.78128,280.10538,275.95483
193,2031-02-15,276.37048,278.28793,278.7194,278.21634,279.6308,277.15598,277.30664,273.89957,277.83994,279.84946,275.82098
194,2031-03-16,278.45428,278.58316,279.6831,275.9996,279.92545,279.313,278.3798,278.00528,280.01974,279.7073,278.23636
195,2031-04-16,279.52054,283.27277,281.028,280.1439,282.7154,279.65472,281.3808,280.54865,282.23993,282.18213,281.4575
196,2031-05-16,284.03134,286.15558,283.70584,283.2331,285.80057,283.4672,283.8241,284.75067,286.07928,284.3617,283.5473
197,2031-06-16,289.70535,288.99265,287.37424,288.08203,288.57175,288.71146,286.3926,289.41534,290.06473,290.5383,287.86392
198,2031-07-16,292.64426,293.4642,290.73825,291.06146,290.85587,291.1343,291.58765,291.37,293.20337,291.12064,291.45837
